Timestamp,Pipe Number,R1,R2,R3,R4,R5
2026-05-19 10:45:51,P1,37.75,43.48,36.58,44.08,39.74
2026-05-19 10:45:51,P2,36.87,41.91,38.7,42.02,39.34
2026-05-19 10:45:51,P3,38.23,39.66,37.99,39.48,40.29
2026-05-19 10:46:22,P1,39.07,44.77,36.97,42.92,41.2
2026-05-19 10:46:22,P2,37.35,42.18,38.67,42.14,37.97
2026-05-19 10:46:22,P3,38.66,40.82,38.94,38.79,39.25
2026-05-19 10:46:53,P1,39.28,43.96,37.82,42.14,42.32
2026-05-19 10:46:53,P2,38.37,43.31,37.33,42.47,36.99
2026-05-19 10:46:53,P3,39.42,39.57,39.92,39.47,40.17
2026-05-19 10:47:24,P1,39.25,45.0,37.78,43.51,43.4
2026-05-19 10:47:24,P2,38.19,44.56,37.16,43.62,38.04
2026-05-19 10:47:24,P3,39.58,40.69,39.89,39.62,40.18
2026-05-19 10:47:55,P1,38.49,45.0,39.0,43.7,43.15
2026-05-19 10:47:55,P2,38.46,45.0,35.96,44.25,38.59
2026-05-19 10:47:55,P3,39.66,39.71,38.74,39.49,39.78
2026-05-19 10:48:26,P1,39.89,45.0,37.81,43.14,42.88
2026-05-19 10:48:26,P2,37.15,44.53,35.0,43.96,38.57
2026-05-19 10:48:26,P3,39.73,40.09,38.71,39.89,39.66
2026-05-19 10:48:57,P1,41.11,44.15,37.95,42.42,44.18
2026-05-19 10:48:57,P2,36.85,43.61,35.0,44.65,38.97
2026-05-19 10:48:57,P3,40.34,40.18,38.02,41.2,40.05
2026-05-19 10:49:28,P1,42.4,44.19,38.76,43.87,43.51
2026-05-19 10:49:28,P2,37.83,44.31,35.0,44.7,38.15
2026-05-19 10:49:28,P3,38.92,39.59,36.67,41.6,38.62
2026-05-19 10:49:59,P1,42.08,44.15,39.83,43.73,43.61
2026-05-19 10:49:59,P2,38.43,43.02,35.0,45.0,36.68
2026-05-19 10:49:59,P3,38.9,38.35,36.83,41.63,40.1
2026-05-19 10:50:30,P1,41.78,43.26,41.28,44.58,44.05
2026-05-19 10:50:30,P2,38.25,43.82,35.15,45.0,38.05
2026-05-19 10:50:30,P3,39.66,38.67,35.86,41.58,41.09
2026-05-19 10:51:01,P1,43.17,43.68,41.8,45.0,44.85
2026-05-19 10:51:01,P2,39.46,44.08,35.0,43.97,37.53
2026-05-19 10:51:01,P3,38.44,38.76,36.41,40.65,41.72
2026-05-19 10:51:33,P1,44.22,45.0,42.73,45.0,44.26
2026-05-19 10:51:33,P2,38.67,43.01,35.0,43.1,37.13
2026-05-19 10:51:33,P3,38.85,37.65,36.29,41.92,42.71
2026-05-19 10:52:04,P1,44.15,44.78,41.37,44.0,45.0
2026-05-19 10:52:04,P2,39.33,44.13,35.47,42.52,37.52
2026-05-19 10:52:04,P3,38.84,37.36,37.05,41.27,44.03
2026-05-19 10:52:35,P1,44.18,44.89,40.11,45.0,45.0
2026-05-19 10:52:35,P2,40.34,43.16,35.0,43.53,36.84
2026-05-19 10:52:35,P3,38.36,37.93,35.81,40.52,42.86
2026-05-19 10:53:06,P1,42.74,45.0,39.9,43.55,44.49
2026-05-19 10:53:06,P2,40.26,44.39,35.0,42.53,37.7
2026-05-19 10:53:06,P3,38.98,39.33,36.84,41.53,43.15
2026-05-19 10:53:37,P1,42.57,44.8,39.66,42.68,43.57
2026-05-19 10:53:37,P2,39.69,45.0,35.55,42.09,38.27
2026-05-19 10:53:37,P3,40.2,39.19,35.51,40.81,42.86
2026-05-19 10:54:08,P1,42.39,45.0,39.16,42.22,42.86
2026-05-19 10:54:08,P2,39.78,45.0,35.0,42.75,38.16
2026-05-19 10:54:08,P3,39.73,38.97,35.46,41.84,43.74
2026-05-19 10:54:39,P1,40.99,45.0,39.53,41.95,42.62
2026-05-19 10:54:39,P2,38.7,45.0,36.11,42.6,37.5
2026-05-19 10:54:39,P3,41.16,40.22,35.0,42.09,45.0
2026-05-19 10:55:10,P1,42.16,44.89,40.44,43.02,41.36
2026-05-19 10:55:10,P2,37.96,44.98,36.56,43.5,36.09
2026-05-19 10:55:10,P3,39.96,39.16,35.0,41.25,44.74
2026-05-19 10:55:41,P1,40.92,45.0,41.42,43.67,41.46
2026-05-19 10:55:41,P2,36.67,45.0,36.91,43.16,36.82
2026-05-19 10:55:41,P3,39.52,38.37,35.0,40.47,44.4
2026-05-19 10:56:12,P1,41.58,44.42,41.09,42.61,41.84
2026-05-19 10:56:12,P2,35.52,45.0,37.34,43.82,37.49
2026-05-19 10:56:12,P3,38.24,38.1,35.0,39.03,44.22
2026-05-19 10:56:44,P1,42.13,44.71,40.34,43.49,43.0
2026-05-19 10:56:44,P2,35.78,45.0,37.75,44.13,38.35
2026-05-19 10:56:44,P3,38.0,39.52,35.98,38.49,43.53
2026-05-19 10:57:15,P1,42.01,44.25,41.06,43.53,43.01
2026-05-19 10:57:15,P2,35.75,44.74,36.67,44.88,37.73
2026-05-19 10:57:15,P3,39.02,39.09,35.0,39.74,43.8
2026-05-19 10:57:46,P1,42.48,43.19,42.27,44.09,42.27
2026-05-19 10:57:46,P2,35.0,44.64,35.46,43.78,38.86
2026-05-19 10:57:46,P3,39.01,38.07,35.0,40.4,45.0
2026-05-19 10:58:17,P1,43.69,42.99,43.11,44.13,43.71
2026-05-19 10:58:17,P2,36.48,45.0,36.03,43.17,38.77
2026-05-19 10:58:17,P3,38.13,38.96,35.0,40.19,45.0
2026-05-19 10:58:48,P1,42.58,43.64,42.38,44.61,44.53
2026-05-19 10:58:48,P2,37.37,45.0,37.05,43.03,39.1
2026-05-19 10:58:48,P3,37.15,39.73,36.25,40.92,45.0
2026-05-19 10:59:19,P1,42.17,44.04,42.91,45.0,44.68
2026-05-19 10:59:19,P2,35.93,45.0,38.25,41.76,39.95
2026-05-19 10:59:19,P3,37.31,41.09,36.81,41.37,44.27
2026-05-19 10:59:50,P1,41.55,45.0,42.52,45.0,44.46
2026-05-19 10:59:50,P2,35.42,45.0,37.06,40.7,40.63
2026-05-19 10:59:50,P3,36.34,41.65,38.21,40.47,45.0
2026-05-19 11:00:21,P1,41.34,45.0,43.23,44.86,45.0
2026-05-19 11:00:21,P2,36.18,43.93,37.22,41.84,41.99
2026-05-19 11:00:21,P3,36.13,42.26,37.56,41.57,43.61
2026-05-19 11:00:52,P1,41.0,44.92,44.14,44.06,45.0
2026-05-19 11:00:52,P2,36.06,44.21,38.16,40.52,41.81
2026-05-19 11:00:52,P3,37.0,41.92,36.62,42.42,43.11
2026-05-19 11:01:23,P1,40.0,45.0,43.54,44.55,45.0
2026-05-19 11:01:23,P2,35.0,45.0,37.92,39.57,41.65
2026-05-19 11:01:23,P3,37.07,40.93,37.63,42.88,42.03
2026-05-19 11:01:54,P1,39.04,44.18,42.34,45.0,45.0
2026-05-19 11:01:54,P2,35.0,44.73,36.52,38.87,41.6
2026-05-19 11:01:54,P3,36.04,40.96,37.23,42.32,41.4
2026-05-19 11:02:25,P1,38.7,44.07,41.77,43.5,45.0
2026-05-19 11:02:25,P2,35.43,44.47,37.91,38.14,40.66
2026-05-19 11:02:25,P3,36.34,41.03,37.47,42.97,42.63
2026-05-19 11:02:56,P1,37.35,45.0,41.9,43.49,45.0
2026-05-19 11:02:56,P2,35.31,45.0,37.08,37.4,39.22
2026-05-19 11:02:56,P3,37.02,42.36,37.07,43.21,41.31
2026-05-19 11:03:27,P1,37.81,43.78,41.47,42.67,45.0
2026-05-19 11:03:27,P2,36.5,44.12,36.35,37.7,40.48
2026-05-19 11:03:27,P3,36.89,41.3,36.5,42.8,41.7
2026-05-19 11:03:58,P1,37.35,43.49,42.87,42.16,45.0
2026-05-19 11:03:58,P2,35.94,43.9,35.21,37.41,41.09
2026-05-19 11:03:58,P3,38.12,42.21,36.9,44.11,40.68
2026-05-19 11:04:29,P1,38.38,42.78,42.94,41.21,45.0
2026-05-19 11:04:29,P2,35.81,43.42,35.33,37.12,41.55
2026-05-19 11:04:29,P3,38.01,42.24,35.99,42.81,41.21
2026-05-19 11:05:00,P1,37.3,41.99,41.44,40.8,45.0
2026-05-19 11:05:00,P2,36.62,44.6,35.0,36.52,41.84
2026-05-19 11:05:00,P3,37.5,42.14,35.72,42.43,40.6
2026-05-19 11:05:32,P1,38.23,42.47,41.11,39.96,45.0
2026-05-19 11:05:32,P2,37.0,45.0,35.93,35.62,41.68
2026-05-19 11:05:32,P3,38.81,41.77,36.26,41.22,39.19
2026-05-19 11:06:03,P1,37.39,43.75,42.25,41.46,45.0
2026-05-19 11:06:03,P2,37.71,44.8,35.18,35.0,40.23
2026-05-19 11:06:03,P3,39.58,40.64,36.26,40.86,38.52
2026-05-19 11:06:34,P1,38.47,44.26,40.86,41.1,44.49
2026-05-19 11:06:34,P2,38.35,44.4,35.0,35.0,39.05
2026-05-19 11:06:34,P3,38.92,41.69,35.14,39.95,39.36
2026-05-19 11:07:05,P1,38.36,44.46,40.35,40.67,45.0
2026-05-19 11:07:05,P2,37.02,43.51,35.0,35.0,40.0
2026-05-19 11:07:05,P3,38.04,41.83,35.81,40.02,40.14
2026-05-19 11:07:36,P1,38.67,44.54,39.84,41.34,45.0
2026-05-19 11:07:36,P2,35.65,42.44,35.0,35.54,40.69
2026-05-19 11:07:36,P3,37.7,42.68,37.11,40.56,39.23
2026-05-19 11:08:07,P1,39.84,43.29,38.66,42.53,44.71
2026-05-19 11:08:07,P2,35.0,43.39,35.0,36.64,39.69
2026-05-19 11:08:07,P3,37.45,42.15,38.15,40.22,38.92
2026-05-19 11:08:38,P1,40.12,42.67,40.11,41.1,44.94
2026-05-19 11:08:38,P2,35.52,42.12,35.11,38.12,38.63
2026-05-19 11:08:38,P3,36.15,40.82,38.04,39.47,38.75
2026-05-19 11:09:09,P1,39.42,41.35,40.26,40.95,44.83
2026-05-19 11:09:09,P2,35.3,42.47,35.0,38.03,39.99
2026-05-19 11:09:09,P3,36.01,39.35,38.47,39.16,38.32
2026-05-19 11:09:40,P1,38.17,41.58,40.6,41.56,45.0
2026-05-19 11:09:40,P2,36.52,43.4,35.0,39.21,39.76
2026-05-19 11:09:40,P3,35.31,37.98,39.93,38.9,38.19
2026-05-19 11:10:11,P1,38.55,40.24,41.98,40.35,44.51
2026-05-19 11:10:11,P2,36.41,43.35,35.0,39.73,39.9
2026-05-19 11:10:11,P3,35.0,38.67,39.83,39.79,38.96
2026-05-19 11:10:42,P1,37.71,40.06,41.55,40.53,45.0
2026-05-19 11:10:42,P2,35.45,43.78,35.43,40.68,40.09
2026-05-19 11:10:42,P3,35.0,39.21,40.8,40.28,38.07
2026-05-19 11:11:13,P1,37.88,38.94,42.06,40.62,45.0
2026-05-19 11:11:13,P2,36.11,43.36,35.61,40.0,40.22
2026-05-19 11:11:13,P3,35.37,39.18,41.96,39.69,39.36
2026-05-19 11:11:44,P1,37.11,38.74,42.51,39.77,43.54
2026-05-19 11:11:44,P2,36.35,42.64,35.0,39.86,40.19
2026-05-19 11:11:44,P3,36.16,39.45,41.93,40.67,40.2
2026-05-19 11:12:15,P1,36.02,39.17,42.36,38.94,42.7
2026-05-19 11:12:15,P2,35.15,41.2,35.0,40.54,41.37
2026-05-19 11:12:15,P3,36.69,40.51,41.18,41.83,38.82
2026-05-19 11:12:47,P1,37.04,39.8,42.04,39.35,43.28
2026-05-19 11:12:47,P2,35.0,42.69,35.0,41.97,42.01
2026-05-19 11:12:47,P3,35.95,40.92,42.44,42.07,40.2
2026-05-19 11:13:18,P1,37.71,38.84,41.21,38.97,43.96
2026-05-19 11:13:18,P2,35.0,41.24,35.0,42.95,41.99
2026-05-19 11:13:18,P3,36.79,41.69,42.55,41.67,39.78
2026-05-19 11:13:49,P1,36.68,38.27,41.6,39.42,42.93
2026-05-19 11:13:49,P2,35.66,40.31,35.04,42.96,43.41
2026-05-19 11:13:49,P3,37.67,40.4,43.65,41.04,38.43
2026-05-19 11:14:20,P1,38.1,37.0,40.7,38.94,44.23
2026-05-19 11:14:20,P2,35.46,41.7,35.0,42.77,43.63
2026-05-19 11:14:20,P3,37.22,41.17,43.36,39.57,39.55
2026-05-19 11:14:51,P1,39.17,37.19,39.53,39.26,45.0
2026-05-19 11:14:51,P2,35.71,43.18,35.0,42.48,44.29
2026-05-19 11:14:51,P3,37.07,42.2,43.17,39.26,40.52
2026-05-19 11:15:22,P1,39.76,36.74,39.21,40.49,44.19
2026-05-19 11:15:22,P2,35.0,42.52,35.41,42.17,45.0
2026-05-19 11:15:22,P3,37.64,43.33,43.09,39.88,41.16
2026-05-19 11:15:53,P1,39.28,35.69,40.3,40.51,43.28
2026-05-19 11:15:53,P2,35.17,43.86,35.69,41.61,45.0
2026-05-19 11:15:53,P3,36.8,43.95,43.95,40.19,42.57
2026-05-19 11:16:24,P1,38.96,35.29,38.81,39.69,42.63
2026-05-19 11:16:24,P2,35.0,43.14,35.92,40.39,45.0
2026-05-19 11:16:24,P3,36.88,45.0,45.0,41.42,43.5
2026-05-19 11:16:55,P1,37.66,35.55,38.42,38.54,42.84
2026-05-19 11:16:55,P2,35.0,42.7,36.47,39.67,45.0
2026-05-19 11:16:55,P3,37.28,43.53,44.06,41.15,44.65
2026-05-19 11:17:26,P1,37.09,35.08,38.35,39.9,43.78
2026-05-19 11:17:26,P2,35.0,41.74,35.03,39.8,45.0
2026-05-19 11:17:26,P3,37.75,42.61,43.19,42.47,44.44
2026-05-19 11:17:57,P1,37.41,35.0,38.92,39.84,43.56
